date,count
2020-01-30,1
2020-01-31,0
2020-02-01,0
2020-02-02,1
2020-02-03,18
2020-02-04,0
2020-02-05,1
2020-02-06,0
2020-02-07,0
2020-02-08,3
2020-02-09,1
2020-02-10,1
2020-02-11,3
2020-02-12,1
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,0
2020-02-23,6
2020-02-24,2
2020-02-25,3
2020-02-26,1
2020-02-27,7
2020-02-28,11
2020-02-29,4
2020-03-01,18
2020-03-02,40
2020-03-03,53
2020-03-04,49
2020-03-05,46
2020-03-06,74
2020-03-07,49
2020-03-08,50
2020-03-09,127
2020-03-10,229
2020-03-11,358
2020-03-12,420
2020-03-13,398
2020-03-14,314
2020-03-15,397
2020-03-16,549
2020-03-17,682
2020-03-18,908
2020-03-19,930
2020-03-20,1092
2020-03-21,1039
2020-03-22,1212
2020-03-23,2010
2020-03-24,2032
2020-03-25,2277
2020-03-26,2625
2020-03-27,2656
2020-03-28,2372
2020-03-29,2444
2020-03-30,3507
2020-03-31,3803
2020-04-01,4145
2020-04-02,4083
2020-04-03,4096
2020-04-04,3397
2020-04-05,3091
2020-04-06,4402
2020-04-07,4597
2020-04-08,4312
2020-04-09,4070
2020-04-10,3580
2020-04-11,3083
2020-04-12,2956
2020-04-13,3460
2020-04-14,3566
2020-04-15,4235
2020-04-16,4356
2020-04-17,4080
2020-04-18,4140
2020-04-19,3494
2020-04-20,3698
2020-04-21,3993
2020-04-22,4809
2020-04-23,4571
2020-04-24,4345
2020-04-25,3379
2020-04-26,3135
2020-04-27,4054
2020-04-28,4106
2020-04-29,4736
2020-04-30,4309
2020-05-01,4105
2020-05-02,2757
2020-05-03,2647
2020-05-04,2849
2020-05-05,3147
2020-05-06,3262
2020-05-07,3202
2020-05-08,2621
2020-05-09,1794
2020-05-10,2013
2020-05-11,3088
2020-05-12,2936
2020-05-13,2894
2020-05-14,2220
2020-05-15,2142
2020-05-16,1780
2020-05-17,1592
2020-05-18,2225
2020-05-19,2601
2020-05-20,2355
2020-05-21,2272
2020-05-22,1795
2020-05-23,1309
2020-05-24,1206
2020-05-25,1389
2020-05-26,1458
2020-05-27,1616
2020-05-28,1572
2020-05-29,1374
2020-05-30,1010
2020-05-31,983
2020-06-01,1319
2020-06-02,1364
2020-06-03,1250
2020-06-04,1145
2020-06-05,1020
2020-06-06,723
2020-06-07,667
2020-06-08,987
2020-06-09,1066
2020-06-10,1086
2020-06-11,913
2020-06-12,938
2020-06-13,784
2020-06-14,752
2020-06-15,944
2020-06-16,994
2020-06-17,914
2020-06-18,937
2020-06-19,818
2020-06-20,624
2020-06-21,548
2020-06-22,821
2020-06-23,727
2020-06-24,730
2020-06-25,643
2020-06-26,640
2020-06-27,506
2020-06-28,413
2020-06-29,666
2020-06-30,578
2020-07-01,607
2020-07-02,557
2020-07-03,533
2020-07-04,383
2020-07-05,542
2020-07-06,653
2020-07-07,562
2020-07-08,681
2020-07-09,687
2020-07-10,522
2020-07-11,432
2020-07-12,351
2020-07-13,686
2020-07-14,656
2020-07-15,726
2020-07-16,642
2020-07-17,547
2020-07-18,473
2020-07-19,419
2020-07-20,768
2020-07-21,695
2020-07-22,764
2020-07-23,740
2020-07-24,719
2020-07-25,499
2020-07-26,518
2020-07-27,822
2020-07-28,793
2020-07-29,993
2020-07-30,879
2020-07-31,640
2020-08-01,508
2020-08-02,516
2020-08-03,962
2020-08-04,965
2020-08-05,972
2020-08-06,1005
2020-08-07,884
2020-08-08,647
2020-08-09,569
2020-08-10,1365
2020-08-11,1242
2020-08-12,1114
2020-08-13,1036
2020-08-14,1059
2020-08-15,655
2020-08-16,533
2020-08-17,1158
2020-08-18,954
2020-08-19,1103
2020-08-20,1252
2020-08-21,1029
2020-08-22,730
2020-08-23,700
2020-08-24,1152
2020-08-25,1076
2020-08-26,1173
2020-08-27,1344
2020-08-28,1381
2020-08-29,1037
2020-08-30,977
2020-08-31,1275
2020-09-01,1950
2020-09-02,2687
2020-09-03,2714
2020-09-04,2630
2020-09-05,2189
2020-09-06,2077
2020-09-07,3508
2020-09-08,3069
2020-09-09,2889
2020-09-10,3124
2020-09-11,2889
2020-09-12,2223
2020-09-13,1721
2020-09-14,2915
2020-09-15,3032
2020-09-16,3757
2020-09-17,3956
2020-09-18,4254
2020-09-19,4147
2020-09-20,4609
2020-09-21,4659
2020-09-22,5343
2020-09-23,5832
2020-09-24,6287
2020-09-25,6042
2020-09-26,5631
2020-09-27,6053
2020-09-28,8588
2020-09-29,8749
2020-09-30,10632
2020-10-01,11362
2020-10-02,11656
2020-10-03,9781
2020-10-04,9955
2020-10-05,14172
2020-10-06,14419
2020-10-07,15401
2020-10-08,15421
2020-10-09,13142
2020-10-10,10288
2020-10-11,9778
2020-10-12,16387
2020-10-13,15619
2020-10-14,16607
2020-10-15,15391
2020-10-16,14708
